	SimulationNumber	PercentReduction	PropCasesReduced	InitialInf	AdjustedInf	NumHCWs	NumPTs	TreatmentEffect	PropImpactedPTs	PropImpactedHCWs	PTPercentReduction
152	153	12.050678197997776	0.24916573971078976	899	790.664403	291	608	224	0.2565789473684211	0.23367697594501718	12.375749506578945
153	154	8.966193978651683	0.1896067415730337	712	648.160698872	194	518	135	0.20270270270270271	0.15463917525773196	9.798709870270262
154	155	8.260399802199991	0.17578125	768	704.5601295191041	236	532	135	0.19360902255639098	0.13559322033898305	8.9196282858827
155	156	10.378453712244902	0.22321428571428573	784	702.632922896	227	557	175	0.236983842010772	0.1894273127753304	10.929131337881515
156	157	11.457031144322283	0.22884386174016685	839	742.875508699136	230	609	192	0.24958949096880131	0.17391304347826086	12.431865088483418
157	158	11.857914368608808	0.2520808561236623	841	741.2749401599999	262	579	212	0.25906735751295334	0.2366412213740458	12.380751785837647
158	159	9.680364320987662	0.2123456790123457	810	731.5890489999999	264	546	172	0.21062271062271062	0.2159090909090909	9.498887728937728
159	160	10.506017916461905	0.21621621621621623	814	728.4810141600001	246	568	176	0.23591549295774647	0.17073170731707318	11.052413000000001
160	161	8.831907160075094	0.18898623279098872	799	728.433061791	272	527	151	0.22011385199240988	0.12867647058823528	10.291179441555972
161	162	11.2996585431579	0.23157894736842105	950	842.65324384	363	587	220	0.24190800681431004	0.21487603305785125	11.846834077001711
162	163	10.482522469386943	0.2236180904522613	796	712.5591211436799	267	529	178	0.2381852551984877	0.1947565543071161	11.158056629438196
163	164	7.459617172587403	0.16783216783216784	715	661.6637372160001	201	514	120	0.1867704280155642	0.11940298507462686	8.343219996887157
164	165	9.437069444025155	0.19748427672955976	795	719.97529792	280	515	157	0.20194174757281552	0.18928571428571428	9.667943046213587
165	166	9.546760536398464	0.20051085568326948	783	708.248865	243	540	157	0.21666666666666667	0.1646090534979424	10.248531666666674
166	167	4.232000000000009	0.10666666666666667	75	71.826	24	51	8	0.1568627450980392	0.0	6.223529411764705
167	168	6.754940448113203	0.1544811320754717	848	790.718105	312	536	131	0.1884328358208955	0.09615384615384616	8.346249067164184
168	169	8.463538615308645	0.1814814814814815	810	741.445337216	280	530	147	0.18867924528301888	0.16785714285714284	8.566067695094336
169	170	8.929831105032257	0.1832258064516129	775	705.793808936	259	516	142	0.20155038759689922	0.14671814671814673	9.797286640310073
170	171	10.119680500363646	0.21333333333333335	825	741.5126358719999	286	539	176	0.22820037105751392	0.1853146853146853	10.896793199257889
171	172	12.039430690126055	0.2571103526734926	879	773.173404233792	294	585	226	0.24786324786324787	0.2755102040816326	12.038610542003415
172	173	13.996992470641159	0.2845894263217098	889	764.5667369360001	275	614	253	0.2996742671009772	0.2509090909090909	14.916454570684042
173	174	8.99222767624022	0.195822454308094	766	697.1195359999999	260	506	150	0.22727272727272727	0.1346153846153846	10.274754150197616
174	175	6.917085542168672	0.16415662650602408	664	618.070552	190	474	109	0.16666666666666666	0.15789473684210525	7.193765400843886
175	176	10.575335737922057	0.22064516129032258	775	693.0411480311041	227	548	171	0.2591240875912409	0.1277533039647577	12.481889740309478
176	177	9.627405666336637	0.2079207920792079	808	730.210562216	248	560	168	0.23035714285714284	0.15725806451612903	10.815071032857142
177	178	11.174131820532322	0.24461343472750316	789	700.836099936	243	546	193	0.2454212454212454	0.24279835390946503	11.490518143589732
178	179	7.666815610608419	0.1622464898595944	641	591.855711936	162	479	104	0.1941544885177453	0.06790123456790123	9.057686860960326
179	180	9.931044388571427	0.2124223602484472	805	725.055092672	226	579	171	0.24870466321243523	0.11946902654867257	11.503642064248698
